start,end,orig,replacement,mode,detail_mode,row_id,percent_used
211,214,hit,cla,synonym,cluster_syn,29,10.0
241,242,m,weiss,synonym,cluster_syn,29,10.0
312,321,screening,reading,synonym,cluster_syn,29,10.0
15,19,more,should,synonym,cluster_syn,30,10.0
36,42,royals,jets,synonym,cluster_syn,30,10.0
75,82,country,station,synonym,cluster_syn,30,10.0
85,89,mood,bore,synonym,cluster_syn,30,10.0
125,128,set,tra,synonym,cluster_syn,30,10.0
241,247,couple,continued,synonym,cluster_syn,30,10.0
19,26,project,charter,synonym,cluster_syn,31,10.0
42,50,strongly,rapidly,synonym,cluster_syn,31,10.0
97,105,released,somewhere,synonym,cluster_syn,31,10.0
126,131,celeb,assignment,synonym,cluster_syn,32,10.0
148,153,there,step,synonym,cluster_syn,32,10.0
166,177,controversy,gesture,synonym,cluster_syn,32,10.0
195,198,see,bal,synonym,cluster_syn,32,10.0
209,216,episode,advice,synonym,cluster_syn,32,10.0
231,236,story,case,synonym,cluster_syn,32,10.0
249,253,show,direct,synonym,cluster_syn,32,10.0
377,381,part,let,synonym,cluster_syn,32,10.0
12,17,upset,bored,synonym,cluster_syn,33,10.0
105,110,shows,basics,synonym,cluster_syn,33,10.0
126,130,love,has,synonym,cluster_syn,33,10.0
149,153,much,very,synonym,cluster_syn,33,10.0
207,215,stressed,afraid,synonym,cluster_syn,33,10.0
248,254,people,white,synonym,cluster_syn,33,10.0
37,42,state,bur,synonym,cluster_syn,34,10.0
73,83,conspiring,bolst,synonym,cluster_syn,34,10.0
196,200,more,good,synonym,cluster_syn,34,10.0
264,268,pays,serves,synonym,cluster_syn,34,10.0
323,330,several,neither,synonym,cluster_syn,34,10.0
337,346,employees,drivers,synonym,cluster_syn,34,10.0
367,374,handled,returned,synonym,cluster_syn,34,10.0
48,54,issues,amendments,synonym,cluster_syn,35,10.0
101,104,MPs,attorneys,synonym,cluster_syn,35,10.0
124,129,party,country,synonym,cluster_syn,35,10.0
150,154,into,offic,synonym,cluster_syn,35,10.0
244,249,about,rock,synonym,cluster_syn,35,10.0
323,328,party,country,synonym,cluster_syn,35,10.0
10,14,sell,merchandise,synonym,cluster_syn,36,10.0
59,63,ones,boards,synonym,cluster_syn,36,10.0
112,117,great,always,synonym,cluster_syn,36,10.0
233,237,even,without,synonym,cluster_syn,36,10.0
4,8,only,back,synonym,cluster_syn,37,10.0
196,201,later,another,synonym,cluster_syn,37,10.0
211,214,own,need,synonym,cluster_syn,37,10.0
224,228,move,send,synonym,cluster_syn,37,10.0
262,266,move,mean,synonym,cluster_syn,37,10.0
280,288,existing,outdoor,synonym,cluster_syn,37,10.0
111,121,individual,applied,synonym,cluster_syn,38,10.0
137,141,more,should,synonym,cluster_syn,38,10.0
171,177,donors,patrons,synonym,cluster_syn,38,10.0
203,207,made,today,synonym,cluster_syn,38,10.0
367,374,strikes,tanks,synonym,cluster_syn,38,10.0
385,389,note,space,synonym,cluster_syn,38,10.0
416,423,because,coming,synonym,cluster_syn,38,10.0
87,94,biggest,widest,synonym,cluster_syn,39,10.0
120,125,times,cov,synonym,cluster_syn,39,10.0
179,189,considered,featured,synonym,cluster_syn,39,10.0
207,214,largest,poorest,synonym,cluster_syn,39,10.0
249,259,accounting,intellectual,synonym,cluster_syn,39,10.0
305,312,outflow,outpouring,synonym,wordnet_syn_fallback,39,10.0
10,15,small,open,synonym,cluster_syn,40,10.0
130,139,admission,submit,synonym,cluster_syn,40,10.0
172,178,source,news,synonym,cluster_syn,40,10.0
243,249,source,news,synonym,cluster_syn,40,10.0
273,282,announced,recalled,synonym,cluster_syn,40,10.0
312,321,admission,submit,synonym,cluster_syn,40,10.0
60,64,over,much,synonym,cluster_syn,41,10.0
88,93,among,within,synonym,cluster_syn,41,10.0
128,136,showdown,raid,synonym,cluster_syn,41,10.0
184,188,home,jul,synonym,cluster_syn,41,10.0
246,255,favourite,licence,synonym,cluster_syn,41,10.0
22,26,fast,raw,synonym,cluster_syn,42,10.0
46,55,mortgages,fines,synonym,cluster_syn,42,10.0
75,79,fell,seek,synonym,cluster_syn,42,10.0
229,234,loans,changes,synonym,cluster_syn,42,10.0
246,250,sale,commodities,synonym,cluster_syn,42,10.0
333,339,points,bees,synonym,cluster_syn,42,10.0
60,67,against,among,synonym,cluster_syn,43,10.0
176,182,active,rapid,synonym,cluster_syn,43,10.0
203,209,sports,product,synonym,cluster_syn,43,10.0
221,227,sprint,deutsche,synonym,cluster_syn,43,10.0
306,315,foursomes,quatern,synonym,wordnet_syn_fallback,43,10.0
24,31,induced,tied,synonym,cluster_syn,44,10.0
118,126,forestry,refinery,synonym,cluster_syn,44,10.0
158,168,freshwater,sailed,synonym,cluster_syn,44,10.0
188,200,biodiversity,compost,synonym,cluster_syn,44,10.0
415,420,novel,scroll,synonym,cluster_syn,44,10.0
432,438,called,forced,synonym,cluster_syn,44,10.0
0,4,told,held,synonym,cluster_syn,45,10.0
35,39,join,found,synonym,cluster_syn,45,10.0
58,64,become,attend,synonym,cluster_syn,45,10.0
187,191,sure,less,synonym,cluster_syn,45,10.0
221,225,head,page,synonym,cluster_syn,45,10.0
4,8,said,grad,synonym,cluster_syn,46,10.0
25,28,fan,watch,synonym,cluster_syn,46,10.0
53,58,scope,sensor,synonym,cluster_syn,46,10.0
68,74,needed,thrown,synonym,cluster_syn,46,10.0
238,243,views,medals,synonym,cluster_syn,46,10.0
323,332,extension,upgrade,synonym,cluster_syn,46,10.0
359,364,match,tour,synonym,cluster_syn,46,10.0
381,388,members,merchants,synonym,cluster_syn,46,10.0
4,8,only,back,synonym,cluster_syn,47,10.0
37,42,think,when,synonym,cluster_syn,47,10.0
71,73,ve,naz,synonym,cluster_syn,47,10.0
102,109,similar,thousands,synonym,cluster_syn,47,10.0
144,148,what,always,synonym,cluster_syn,47,10.0
197,203,centre,unit,synonym,cluster_syn,47,10.0
359,368,receiving,claiming,synonym,cluster_syn,47,10.0
404,410,during,about,synonym,cluster_syn,47,10.0
10,15,since,maybe,synonym,cluster_syn,48,10.0
78,79,s,ill,synonym,cluster_syn,48,10.0
86,94,director,vice,synonym,cluster_syn,48,10.0
196,204,director,vice,synonym,cluster_syn,48,10.0
238,246,chairman,secretary,synonym,cluster_syn,48,10.0
81,88,worried,upset,synonym,cluster_syn,49,10.0
109,115,global,primary,synonym,cluster_syn,49,10.0
177,186,companies,tax,synonym,cluster_syn,49,10.0
216,227,considering,isn,synonym,cluster_syn,49,10.0
235,238,cut,led,synonym,cluster_syn,49,10.0
276,282,policy,environment,synonym,cluster_syn,49,10.0
37,38,s,mil,synonym,cluster_syn,50,10.0
46,49,off,leg,synonym,cluster_syn,50,10.0
173,174,s,mil,synonym,cluster_syn,50,10.0
209,214,break,born,synonym,cluster_syn,50,10.0
229,234,relax,supporting,synonym,cluster_syn,50,10.0
312,316,good,was,synonym,cluster_syn,50,10.0
337,341,time,look,synonym,cluster_syn,50,10.0
3,10,reduced,seen,synonym,cluster_syn,51,10.0
110,113,due,taking,synonym,cluster_syn,51,10.0
226,230,paid,upload,synonym,cluster_syn,51,10.0
253,260,similar,thousands,synonym,cluster_syn,51,10.0
270,276,before,next,synonym,cluster_syn,51,10.0
292,301,financial,companies,synonym,cluster_syn,51,10.0
11,16,bonus,license,synonym,cluster_syn,52,10.0
176,180,plan,head,synonym,cluster_syn,52,10.0
191,195,also,look,synonym,cluster_syn,52,10.0
256,261,group,story,synonym,cluster_syn,52,10.0
320,324,said,grad,synonym,cluster_syn,52,10.0
336,340,will,time,synonym,cluster_syn,52,10.0
405,415,individual,applied,synonym,cluster_syn,52,10.0
444,451,offered,transferred,synonym,cluster_syn,52,10.0
3,11,beverage,smokers,synonym,cluster_syn,53,10.0
28,36,expected,addressed,synonym,cluster_syn,53,10.0
76,84,business,opportunity,synonym,cluster_syn,53,10.0
238,244,joined,slowly,synonym,cluster_syn,53,10.0
10,17,despite,however,synonym,cluster_syn,54,10.0
50,53,get,good,synonym,cluster_syn,54,10.0
61,65,done,wish,synonym,cluster_syn,54,10.0
75,79,told,held,synonym,cluster_syn,54,10.0
232,240,transfer,available,synonym,cluster_syn,54,10.0
359,367,transfer,available,synonym,cluster_syn,54,10.0
45,52,affects,arrives,synonym,cluster_syn,55,10.0
68,76,families,representatives,synonym,cluster_syn,55,10.0
115,120,based,within,synonym,cluster_syn,55,10.0
153,158,party,country,synonym,cluster_syn,55,10.0
241,246,union,floor,synonym,cluster_syn,55,10.0
316,322,rights,resource,synonym,cluster_syn,55,10.0
5,10,other,some,synonym,cluster_syn,56,10.0
110,114,than,draw,synonym,cluster_syn,56,10.0
132,142,especially,guess,synonym,cluster_syn,56,10.0
170,173,set,tra,synonym,cluster_syn,56,10.0
5,10,clear,inner,synonym,cluster_syn,57,10.0
31,36,there,under,synonym,cluster_syn,57,10.0
65,70,doing,anything,synonym,cluster_syn,57,10.0
192,198,player,battle,synonym,cluster_syn,57,10.0
253,257,team,vis,synonym,cluster_syn,57,10.0
275,279,team,vis,synonym,cluster_syn,57,10.0
31,34,day,always,synonym,cluster_syn,58,10.0
146,156,struggling,watching,synonym,cluster_syn,58,10.0
183,188,rugby,bowling,synonym,cluster_syn,58,10.0
195,199,kick,running,synonym,cluster_syn,58,10.0
4,8,drug,beers,synonym,cluster_syn,59,10.0
48,54,events,cour,synonym,cluster_syn,59,10.0
80,88,approved,mentioned,synonym,cluster_syn,59,10.0
172,176,pain,birth,synonym,cluster_syn,59,10.0
254,263,suppliers,selling,synonym,cluster_syn,59,10.0
352,356,also,look,synonym,cluster_syn,59,10.0
365,373,pregnant,fem,synonym,cluster_syn,59,10.0
108,112,jobs,operations,synonym,cluster_syn,60,10.0
137,145,expected,addressed,synonym,cluster_syn,60,10.0
185,190,paper,host,synonym,cluster_syn,60,10.0
218,227,corporate,resources,synonym,cluster_syn,60,10.0
237,241,then,before,synonym,cluster_syn,60,10.0
266,272,health,human,synonym,cluster_syn,60,10.0
290,299,withstand,diminish,synonym,cluster_syn,60,10.0
368,379,advertising,theme,synonym,cluster_syn,60,10.0
35,42,scoring,naming,synonym,cluster_syn,61,10.0
69,74,match,tour,synonym,cluster_syn,61,10.0
104,110,mumbai,buddha,synonym,cluster_syn,61,10.0
173,179,forget,usually,synonym,cluster_syn,61,10.0
0,4,izan,politico,synonym,cluster_syn,62,10.0
122,131,baltimore,louisiana,synonym,cluster_syn,62,10.0
178,185,complex,mode,synonym,cluster_syn,62,10.0
214,222,multiple,friends,synonym,cluster_syn,62,10.0
261,266,means,charges,synonym,cluster_syn,62,10.0
277,281,will,time,synonym,cluster_syn,62,10.0
357,361,case,united,synonym,cluster_syn,62,10.0
410,418,products,education,synonym,cluster_syn,62,10.0
17,21,very,here,synonym,cluster_syn,63,10.0
48,54,racers,automobiledriver,synonym,wordnet_syn_fallback,63,10.0
59,63,work,today,synonym,cluster_syn,63,10.0
91,97,trying,simply,synonym,cluster_syn,63,10.0
176,179,how,get,synonym,cluster_syn,63,10.0
231,236,still,have,synonym,cluster_syn,63,10.0
249,251,ve,naz,synonym,cluster_syn,63,10.0
362,368,happen,know,synonym,cluster_syn,63,10.0
20,26,public,comm,synonym,cluster_syn,64,10.0
37,43,sector,tool,synonym,cluster_syn,64,10.0
112,117,short,human,synonym,cluster_syn,64,10.0
222,228,scheme,door,synonym,cluster_syn,64,10.0
253,257,into,offic,synonym,cluster_syn,64,10.0
361,365,told,held,synonym,cluster_syn,64,10.0
24,35,importantly,noticeably,synonym,cluster_syn,65,10.0
47,54,growing,ensure,synonym,cluster_syn,65,10.0
85,92,country,station,synonym,cluster_syn,65,10.0
148,151,how,get,synonym,cluster_syn,65,10.0
195,199,over,much,synonym,cluster_syn,65,10.0
323,331,familiar,bare,synonym,cluster_syn,65,10.0
386,390,over,much,synonym,cluster_syn,65,10.0
40,44,hold,than,synonym,cluster_syn,66,10.0
56,63,segment,column,synonym,cluster_syn,66,10.0
112,118,trades,buy,synonym,cluster_syn,66,10.0
127,130,car,sec,synonym,cluster_syn,66,10.0
45,49,part,let,synonym,cluster_syn,67,10.0
136,140,more,should,synonym,cluster_syn,67,10.0
182,188,taking,much,synonym,cluster_syn,67,10.0
229,233,will,time,synonym,cluster_syn,67,10.0
264,274,programmes,mould,synonym,cluster_syn,67,10.0
299,304,shows,basics,synonym,cluster_syn,67,10.0
311,320,classical,anthropology,synonym,cluster_syn,67,10.0
35,38,use,cour,synonym,cluster_syn,68,10.0
84,89,gives,moves,synonym,cluster_syn,68,10.0
117,128,information,line,synonym,cluster_syn,68,10.0
207,210,etc,yes,synonym,cluster_syn,68,10.0
224,228,easy,mult,synonym,cluster_syn,68,10.0
255,261,online,und,synonym,cluster_syn,68,10.0
315,325,accessible,forthcoming,synonym,cluster_syn,68,10.0
3,7,cash,hedge,synonym,cluster_syn,69,10.0
80,84,bank,print,synonym,cluster_syn,69,10.0
148,158,investment,communication,synonym,cluster_syn,69,10.0
172,177,grant,russell,synonym,cluster_syn,69,10.0
212,219,another,above,synonym,cluster_syn,69,10.0
62,66,want,more,synonym,cluster_syn,70,10.0
75,78,out,she,synonym,cluster_syn,70,10.0
91,99,problems,loans,synonym,cluster_syn,70,10.0
128,132,also,look,synonym,cluster_syn,70,10.0
142,148,health,human,synonym,cluster_syn,70,10.0
166,171,ready,hits,synonym,cluster_syn,70,10.0
226,231,large,flex,synonym,cluster_syn,70,10.0
261,270,suggested,proposed,synonym,cluster_syn,70,10.0
3,13,attributed,praised,synonym,cluster_syn,71,10.0
86,93,economy,peoples,synonym,cluster_syn,71,10.0
129,135,during,about,synonym,cluster_syn,71,10.0
229,233,rate,factor,synonym,cluster_syn,71,10.0
246,252,during,about,synonym,cluster_syn,71,10.0
312,319,primary,life,synonym,cluster_syn,71,10.0
332,341,investors,prosecutors,synonym,cluster_syn,71,10.0
5,9,shop,card,synonym,cluster_syn,72,10.0
144,148,much,very,synonym,cluster_syn,72,10.0
182,185,too,who,synonym,cluster_syn,72,10.0
231,236,money,rent,synonym,cluster_syn,72,10.0
260,265,party,country,synonym,cluster_syn,72,10.0
293,300,purpose,abuse,synonym,cluster_syn,72,10.0
394,403,political,politics,synonym,cluster_syn,72,10.0
430,438,councils,colleges,synonym,cluster_syn,72,10.0
0,8,canceled,disrupted,synonym,cluster_syn,73,10.0
27,34,student,church,synonym,cluster_syn,73,10.0
51,62,represented,derived,synonym,cluster_syn,73,10.0
93,97,club,nation,synonym,cluster_syn,73,10.0
286,291,after,what,synonym,cluster_syn,73,10.0
313,318,which,taking,synonym,cluster_syn,73,10.0
365,370,welsh,persian,synonym,cluster_syn,73,10.0
469,473,take,not,synonym,cluster_syn,73,10.0
27,32,taken,reported,synonym,cluster_syn,74,10.0
55,62,discuss,previous,synonym,cluster_syn,74,10.0
109,116,country,station,synonym,cluster_syn,74,10.0
156,159,job,walk,synonym,cluster_syn,74,10.0
194,198,take,not,synonym,cluster_syn,74,10.0
209,218,potential,entry,synonym,cluster_syn,74,10.0
340,347,thanked,dreamed,synonym,cluster_syn,74,10.0
417,425,together,different,synonym,cluster_syn,74,10.0
36,41,drive,team,synonym,cluster_syn,75,10.0
188,192,soon,outside,synonym,cluster_syn,75,10.0
235,239,some,free,synonym,cluster_syn,75,10.0
274,278,also,look,synonym,cluster_syn,75,10.0
286,292,things,tonight,synonym,cluster_syn,75,10.0
347,354,inspire,unite,synonym,cluster_syn,75,10.0
378,381,etc,yes,synonym,cluster_syn,75,10.0
4,7,gas,poll,synonym,cluster_syn,76,10.0
76,83,similar,thousands,synonym,cluster_syn,76,10.0
183,186,set,tra,synonym,cluster_syn,76,10.0
266,269,gas,poll,synonym,cluster_syn,76,10.0
291,302,challenging,opponent,synonym,cluster_syn,76,10.0
44,50,racism,disrespectful,synonym,cluster_syn,77,10.0
85,90,wills,factions,synonym,cluster_syn,77,10.0
146,153,crowned,behold,synonym,cluster_syn,77,10.0
203,210,stories,newsweek,synonym,cluster_syn,77,10.0
86,91,issue,latest,synonym,cluster_syn,78,10.0
146,151,until,tonight,synonym,cluster_syn,78,10.0
172,184,questionable,inferior,synonym,cluster_syn,78,10.0
216,223,Cricket,Wim,synonym,cluster_syn,78,10.0
267,274,through,before,synonym,cluster_syn,78,10.0
303,308,ahead,unable,synonym,cluster_syn,78,10.0
9,17,problems,loans,synonym,cluster_syn,79,10.0
64,74,injunction,accumulation,synonym,cluster_syn,79,10.0
110,120,statements,forms,synonym,cluster_syn,79,10.0
152,161,businesss,businessconcern,synonym,wordnet_syn_fallback,79,10.0
205,213,expected,addressed,synonym,cluster_syn,79,10.0
272,275,day,always,synonym,cluster_syn,79,10.0
323,331,expected,addressed,synonym,cluster_syn,79,10.0
56,61,after,what,synonym,cluster_syn,80,10.0
156,165,corporate,resources,synonym,cluster_syn,80,10.0
205,212,attempt,historically,synonym,cluster_syn,80,10.0
230,237,elected,democracy,synonym,cluster_syn,80,10.0
250,256,titans,rockies,synonym,cluster_syn,80,10.0
282,285,out,new,synonym,cluster_syn,80,10.0
383,390,project,charter,synonym,cluster_syn,80,10.0
12,18,player,battle,synonym,cluster_syn,81,10.0
98,106,football,ufc,synonym,cluster_syn,81,10.0
157,160,who,cap,synonym,cluster_syn,81,10.0
217,224,because,coming,synonym,cluster_syn,81,10.0
245,249,very,here,synonym,cluster_syn,81,10.0
316,320,will,time,synonym,cluster_syn,81,10.0
364,367,new,over,synonym,cluster_syn,81,10.0
66,69,bid,brom,synonym,cluster_syn,82,10.0
101,107,mumbai,buddha,synonym,cluster_syn,82,10.0
162,166,will,time,synonym,cluster_syn,82,10.0
233,238,going,along,synonym,cluster_syn,82,10.0
